1,001,1,78,360106
1,001,2,58,396778
1,001,3,42,409549
1,001,4,79,385132
1,001,5,122,376021
1,001,6,188,415848
1,001,7,380,548011
1,001,8,486,571257
1,001,9,763,508980
1,001,10,1241,445793
1,001,11,1902,379276
1,001,12,3215,353786
1,001,13,5466,395951
1,001,14,6244,306442
1,001,15,6958,250036
1,001,16,5362,152694
1,001,17,2677,65541
1,001,18,2237,49296
1,001,19,0,0
2,001,1,85,341683
2,001,2,45,374634
2,001,3,44,388374
2,001,4,77,364989
2,001,5,131,367194
2,001,6,157,403084
2,001,7,450,524916
2,001,8,772,552233
2,001,9,1242,501956
2,001,10,1747,442469
2,001,11,2058,369318
2,001,12,2761,352330
2,001,13,3849,419095
2,001,14,3872,348293
2,001,15,4816,330505
2,001,16,5240,287650
2,001,17,3326,158685
2,001,18,4276,169523
2,001,19,0,0
1,002,1,78,360106
1,002,2,56,396778
1,002,3,42,409549
1,002,4,79,385132
1,002,5,121,376021
1,002,6,180,415848
1,002,7,358,548011
1,002,8,442,571257
1,002,9,655,508980
1,002,10,1075,445793
1,002,11,1682,379276
1,002,12,2834,353786
1,002,13,4820,395951
1,002,14,5544,306442
1,002,15,6096,250036
1,002,16,4621,152694
1,002,17,2237,65541
1,002,18,1882,49296
1,002,19,0,0
2,002,1,85,341683
2,002,2,45,374634
2,002,3,43,388374
2,002,4,74,364989
2,002,5,126,367194
2,002,6,148,403084
2,002,7,409,524916
2,002,8,694,552233
2,002,9,1133,501956
2,002,10,1594,442469
2,002,11,1864,369318
2,002,12,2431,352330
2,002,13,3413,419095
2,002,14,3390,348293
2,002,15,4211,330505
2,002,16,4564,287650
2,002,17,2851,158685
2,002,18,3671,169523
2,002,19,0,0
1,003,1,0,360106
1,003,2,0,396778
1,003,3,0,409549
1,003,4,0,385132
1,003,5,1,376021
1,003,6,2,415848
1,003,7,7,548011
1,003,8,15,571257
1,003,9,63,508980
1,003,10,116,445793
1,003,11,139,379276
1,003,12,183,353786
1,003,13,210,395951
1,003,14,159,306442
1,003,15,105,250036
1,003,16,45,152694
1,003,17,26,65541
1,003,18,13,49296
1,003,19,0,0
2,003,1,0,341683
2,003,2,0,374634
2,003,3,0,388374
2,003,4,4,364989
2,003,5,1,367194
2,003,6,1,403084
2,003,7,4,524916
2,003,8,6,552233
2,003,9,14,501956
2,003,10,31,442469
2,003,11,45,369318
2,003,12,54,352330
2,003,13,48,419095
2,003,14,48,348293
2,003,15,46,330505
2,003,16,37,287650
2,003,17,26,158685
2,003,18,25,169523
2,003,19,0,0
1,004,1,0,360106
1,004,2,0,396778
1,004,3,0,409549
1,004,4,0,385132
1,004,5,0,376021
1,004,6,0,415848
1,004,7,0,548011
1,004,8,0,571257
1,004,9,0,508980
1,004,10,0,445793
1,004,11,0,379276
1,004,12,0,353786
1,004,13,0,395951
1,004,14,1,306442
1,004,15,4,250036
1,004,16,0,152694
1,004,17,1,65541
1,004,18,0,49296
1,004,19,0,0
2,004,1,0,341683
2,004,2,0,374634
2,004,3,0,388374
2,004,4,0,364989
2,004,5,0,367194
2,004,6,0,403084
2,004,7,0,524916
2,004,8,0,552233
2,004,9,0,501956
2,004,10,0,442469
2,004,11,1,369318
2,004,12,0,352330
2,004,13,0,419095
2,004,14,2,348293
2,004,15,3,330505
2,004,16,0,287650
2,004,17,0,158685
2,004,18,0,169523
2,004,19,0,0
1,005,1,0,360106
1,005,2,0,396778
1,005,3,0,409549
1,005,4,0,385132
1,005,5,0,376021
1,005,6,1,415848
1,005,7,2,548011
1,005,8,3,571257
1,005,9,11,508980
1,005,10,18,445793
1,005,11,17,379276
1,005,12,29,353786
1,005,13,41,395951
1,005,14,26,306442
1,005,15,19,250036
1,005,16,8,152694
1,005,17,3,65541
1,005,18,1,49296
1,005,19,0,0
2,005,1,0,341683
2,005,2,0,374634
2,005,3,0,388374
2,005,4,0,364989
2,005,5,0,367194
2,005,6,1,403084
2,005,7,0,524916
2,005,8,1,552233
2,005,9,4,501956
2,005,10,4,442469
2,005,11,8,369318
2,005,12,12,352330
2,005,13,5,419095
2,005,14,9,348293
2,005,15,10,330505
2,005,16,13,287650
2,005,17,7,158685
2,005,18,2,169523
2,005,19,0,0
1,006,1,0,360106
1,006,2,0,396778
1,006,3,0,409549
1,006,4,0,385132
1,006,5,0,376021
1,006,6,0,415848
1,006,7,0,548011
1,006,8,1,571257
1,006,9,5,508980
1,006,10,7,445793
1,006,11,7,379276
1,006,12,13,353786
1,006,13,10,395951
1,006,14,11,306442
1,006,15,7,250036
1,006,16,1,152694
1,006,17,2,65541
1,006,18,1,49296
1,006,19,0,0
2,006,1,0,341683
2,006,2,0,374634
2,006,3,0,388374
2,006,4,0,364989
2,006,5,0,367194
2,006,6,1,403084
2,006,7,0,524916
2,006,8,0,552233
2,006,9,2,501956
2,006,10,1,442469
2,006,11,4,369318
2,006,12,5,352330
2,006,13,2,419095
2,006,14,4,348293
2,006,15,1,330505
2,006,16,5,287650
2,006,17,3,158685
2,006,18,1,169523
2,006,19,0,0
1,007,1,0,360106
1,007,2,0,396778
1,007,3,0,409549
1,007,4,0,385132
1,007,5,0,376021
1,007,6,1,415848
1,007,7,2,548011
1,007,8,2,571257
1,007,9,6,508980
1,007,10,11,445793
1,007,11,10,379276
1,007,12,16,353786
1,007,13,31,395951
1,007,14,15,306442
1,007,15,12,250036
1,007,16,7,152694
1,007,17,1,65541
1,007,18,0,49296
1,007,19,0,0
2,007,1,0,341683
2,007,2,0,374634
2,007,3,0,388374
2,007,4,0,364989
2,007,5,0,367194
2,007,6,0,403084
2,007,7,0,524916
2,007,8,1,552233
2,007,9,2,501956
2,007,10,3,442469
2,007,11,4,369318
2,007,12,7,352330
2,007,13,3,419095
2,007,14,5,348293
2,007,15,9,330505
2,007,16,8,287650
2,007,17,4,158685
2,007,18,1,169523
2,007,19,0,0
1,008,1,0,360106
1,008,2,0,396778
1,008,3,0,409549
1,008,4,0,385132
1,008,5,0,376021
1,008,6,0,415848
1,008,7,4,548011
1,008,8,3,571257
1,008,9,14,508980
1,008,10,28,445793
1,008,11,37,379276
1,008,12,47,353786
1,008,13,47,395951
1,008,14,46,306442
1,008,15,25,250036
1,008,16,12,152694
1,008,17,10,65541
1,008,18,3,49296
1,008,19,0,0
2,008,1,0,341683
2,008,2,0,374634
2,008,3,0,388374
2,008,4,0,364989
2,008,5,0,367194
